200;10;poi;-9.0039;9.8067;314.262074443;20.4731670503;11.2083248957;18.6470307935
200;10;nb;-1.0511;4.4404;346.304393551;19.5579256905;29.1137406786;18.2586673188
200;10;zip;-6.5134;8.4988;328.747473525;29.1089650435;44.1676435612;18.4667802791
200;10;zinb;-2.7503;6.0044;346.42877825;21.4536865473;28.5370065385;18.2572308673
200;10;rf;0.1947;2.7825;296.781859898;19.4101727848;7.40203088851;18.8759503107
400;10;poi;-3.6507;6.6864;313.738288098;17.8591927707;10.2074223849;18.6537032287
400;10;nb;-0.2153;3.418;346.731835702;15.3617720961;23.3103236932;18.253733179
400;10;zip;-2.8074;6.05;331.790924938;14.9888202893;20.3508851077;18.4299197671
400;10;zinb;-0.2053;3.4039;347.270756421;17.6716868989;27.8811731131;18.2475208584
400;10;rf;0.1778;2.8113;300.873584515;15.4589095095;6.75636603615;18.8211791065
600;10;poi;-1.2339;4.6341;313.940695393;15.755423648;9.39830192218;18.651123473
600;10;nb;-0.2046;3.4029;345.706056949;15.8489028448;22.389825972;18.2655844022
600;10;zip;-0.6321;3.961;330.39249659;33.4499393619;19.4587813363;18.4468145474
600;10;zinb;-0.1976;3.393;346.096380628;17.1924698189;21.467764505;18.2610707006
600;10;rf;0.1402;2.8749;306.750604261;27.0790126122;8.72623605279;18.7437996587
1000;10;poi;-0.6601;3.9949;316.242827142;20.5049727013;9.14698468747;18.6218984374
1000;10;nb;-0.1992;3.3953;343.132471055;18.4089582533;25.2188441291;18.2954735302
1000;10;zip;-0.6184;3.9443;321.710836002;81.1056262726;146.27387327;18.5533274036
1000;10;zinb;-0.1958;3.3906;343.331593818;56.6314630398;64.9043589614;18.2931529686
1000;10;rf;0.1159;2.9154;313.02499384;14.7601354004;5.1292951628;18.6628077131
1200;10;poi;-0.6731;4.0104;316.087662468;19.6937838902;7.57709647043;18.6238615206
1200;10;nb;-0.1902;3.3826;343.42164977;15.5309091536;19.4777387759;18.2921039053
1200;10;zip;-0.5857;3.9044;322.941110909;18.3473607588;13.5073749213;18.5380599229
1200;10;zinb;-0.1894;3.3815;343.725528774;13.9718397233;16.7695410729;18.2885660429
1200;10;rf;0.1093;2.9262;313.330464915;25.1213148044;4.92233718945;18.6589061445
